REF_ID;ORDEMBD;STUDY_AIM;SPECIES;SP_ORIGIN;SITE;AREA_HA;MUNICIPALITY;STATE;COUNTRY;LONGITUDE_X;LATITUDE_Y;PRECISION;UC;ANNUAL_TEMP;ANNUAL_RAIN;ALTITUDE;VEG_TYPE;BUFFER_20KM;OLSONECONAME;OLSONG200R;RIBEIROVEGTYPE;BSRS;METHOD;COL_STRT_MO;COL_STRT_YR;COL_END_MO;COL_END_YR;LTR_EFF;LTR_ABD_10KM;LTR_DENS_KM2;LTR_DENS_HA;SURV_EFF;SURV_ABD;SURV_DENS
REF0800;Agostini_etal_1;ABD;Sapajus nigritus;Autochtone;Parque Nacional Iguazu;55000;Iguazu;MISIONES;Argentina;-54.44916667;-25.66722222;Precise;Yes;26.1;1715;181;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;January;1991;December;1998;NA;NA;NA;NA;NA;NA;16
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_19;ABD-COMM;Sapajus nigritus;Autochtone;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-53.83333333;-26.5;Precise;Yes;23.4;1861;593;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Line transect;March;2005;November;2007;175;0.11;NA;NA;NA;NA;NA
REF0801;Agostini_etal_2;ABD-COMM;Alouatta guariba;Autochtone;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-53.83333333;-26.5;Precise;Yes;23.4;1861;593;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Line transect;March;2005;November;2007;175;0.29;10;NA;NA;NA;NA
REF0801;Agostini_etal_3;ABD-COMM;Alouatta caraya;Autochtone;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-53.83333333;-26.5;Precise;Yes;23.4;1861;593;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Line transect;March;2005;November;2007;175;0.4;15;NA;NA;NA;NA
REF0680;Almeida_AS_plan_1_10;ABD-COMM;Alouatta guariba;Autochtone;Reserva Biologica Augusto Ruschi;4000;LINHARES;ESPIRITO SANTO;Brazil;-40.4045;-19.4836;Precise;Yes;26.8;1166;118;Montane forest;inside the 20 km polygon;Bahia coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Bahia;Line transect;January;1989;December;1989;NA;NA;10.1;NA;NA;NA;NA
REF0702;Almeida_AS_plan_1_108;ABD;Alouatta guariba;Autochtone;Reserva Santa Genebra;250;MOGI MIRIM;SAO PAULO;Brazil;-47.0633;-22.4945;Precise;Yes;22.4;1322;722;Semideciduous forest;inside the 20 km polygon;Cerrado;Cerrado Woodlands and Savannas;Areas de Tensao Ecologica;Florestas de Interior;Survey;February;1991;February;1992;NA;NA;NA;NA;NA;1.19-1.77;NA
REF0703;Almeida_AS_plan_1_109;ABD-COMM;Alouatta guariba;Autochtone;Reserva Caetetus;2178;AVAI;SAO PAULO;Brazil;-49.44;-22.26;Precise;Yes;24;1233;579;Semideciduous forest;inside the 20 km polygon;Cerrado;Cerrado Woodlands and Savannas;Areas de Tensao Ecologica;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;0.6;NA;NA;NA;NA
REF0680;Almeida_AS_plan_1_11;ABD-COMM;Brachyteles hypoxanthus;Autochtone;Reserva Biologica Augusto Ruschi;4000;LINHARES;ESPIRITO SANTO;Brazil;-40.4045;-19.4836;Precise;Yes;26.8;1166;118;Montane forest;inside the 20 km polygon;Bahia coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Bahia;Line transect;January;1989;December;1989;NA;NA;0.1;NA;NA;NA;NA
REF0703;Almeida_AS_plan_1_110;ABD-COMM;Alouatta guariba;Autochtone;Fazenda Tucano (Estacao Ecologica Mico-leao-preto);2000;TEODORO SAMPAIO;SAO PAULO;Brazil;-52.2753;-22.291;Precise;Yes;25.5;1166;310;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;10.91;NA;NA;NA;NA
REF0703;Almeida_AS_plan_1_111;ABD-COMM;Alouatta guariba;Autochtone;Parque Estadual Morro do Diabo;35000;MIRANTE DO PARANAPANEMA;SAO PAULO;Brazil;-52.2;-22.3;Precise;Yes;25.1;1171;322;Semideciduous forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Line transect;May;1995;December;1996;NA;NA;15.66;NA;NA;NA;NA
