REF_ID;PUB_TYPE;REFERENCE
REF0001;Article;Cullen, L., Bodmer, R. E., and Pádua, C. V. 2000. Effects of hunting in habitat fragments of the Atlantic forests, Brazil. Biological conservation, 95:49-56.
REF0002;Article;São Bernardo, C. S., and Galetti, M. 2004. Density and population size of primates in a forest fragment in southeastern Brazil. Revista Brasileira de Zoologia, 21:827-832.
REF0003;Article;Chiarello, A. G. 1999. Effects of fragmentation of the Atlantic forest on mammal communities in south-eastern Brazil. Biological Conservation, 89:71-82.
REF0004;Book;Chiarello, A. G. 2003. Primates of the Brazilian Atlantic forest: the influence of forest fragmentation on survival. In: Marsh, L. K., and Chapman, C. A. (eds.) Primates in Fragments, 99-121. Springer US.
REF0005;Article;Chiarello, A. G. 2000. Conservation value of a native forest fragment in a region of extensive agriculture. Revista Brasileira de Biologia, 60:237-247.
REF0006;Article;Galetti, M., Brocardo, C. R., Begotti, R. A., Hortenci, L., Rocha-Mendes, F., Bernardo, C. S. S., Bueno, R. S., Nobre, R., Bovendorp, R. S., Marques, R. M., Meirelles, F., Gobbo, S. K., Beca, G., Schmaedecke, G. and Siqueira, T. 2017. Defaunation and biomass collapse of mammals in the largest Atlantic forest remnant. Animal Conservation, 20: 270–281. 
REF0007;Article;Martins, M. M. 2005. Density of primates in four semi-deciduous forest fragments of São Paulo, Brazil. Biodiversity and Conservation. 14: 2321-2329.
REF0008;Article;Negrão, M. D. F. F., and Valladares-Pádua, C. 2006. Registros de mamíferos de maior porte na Reserva Florestal do Morro Grande, São Paulo. Biota Neotropica. 6:1-13.
REF0009;Thesis;Gaspar, D. D. A. 2005. Comunidade de mamíferos não-voadores de um fragmento de Floresta Atlântica semidecídua do município de Campinas-SP. Universidade Estadual de Campinas.
REF0010;Thesis;Barros, R. S. M. 2008. Levantamento e estimativas populacionais de mamíferos de médio e grande porte num fragmento de mata atlântica em área urbana no sudeste do Brasil. Universidade Federal de Juiz de Fora.
REF0011;Article;Araújo, R. M. D., Souza, M. B. D., and Ruiz-Miranda, C. R. 2008. Densidade e tamanho populacional de mamíferos cinegéticos em duas Unidades de Conservação do Estado do Rio de Janeiro, Brasil. Iheringia, Série Zoologia. 98:391-396.
REF0012;Article;Penido, G., and Zanzini, A. C. Sd. 2012. Checklist of large and medium-sized mammals of the Estação Ecológica Mata do Cedro, an Atlantic forest remnant of central Minas Gerais, Brazil. Check List. 8:712-717.
REF0013;Article;Eduardo, A. A., and Passamani, M. 2009. Mammals of medium and large size in Santa Rita do Sapucaí, Minas Gerais, southeastern Brazil. Check List. 5:399-404.
REF0014;Article;de Souza Fialho, M., and Fernandes Gonçalves, G. 2008. Primates Da Rppn Gargaú, Paraíba, Brasil. Neotropical Primates. 15: 50-54.
REF0015;Technical document;MMA-IBAMA. 2003. Plano de manejo da Reserva Biológica Guaribas.
REF0016;Article;Abreu Júnior, E. Fd., and Köhler, A. 2009. Mastofauna de médio e grande porte na RPPN da UNISC, RS, Brasil. Biota neotropica. 9:169-174.
REF0017;Article;Pires, D. P. D. S., and Cademartori, C. V. 2012. Medium and large sized mammals of a semideciduous forest remnant in southern Brazil. Biota Neotropica. 12:239-245.
REF0018;Article;Bicca-Marques, J. C., Prates, H. M., de Aguiar, F. R. C., and Jones, C. B. 2008. Survey of Alouatta caraya, the black-and-gold howler monkey, and Alouatta guariba clamitans, the brown howler monkey, in a contact zone, State of Rio Grande do Sul, Brazil: evidence for hybridization. Primates. 49:246-252.
REF0019;Article;Fialho, M. D. S., Valença-Montenegro, M. M., Silva, T. C. F. D., Ferreira, J. G., and Laroque, P. D. O. 2014. Ocorrência de Sapajus flavius e Alouatta belzebul no Centro de Endemismo Pernambuco. Neotropical Primates. 21:214-218.
REF0020;Thesis;Aguiar, L. D. M. 2006. Os primatas do corredor do Alto Rio Paraná (Região de Porto Rico, Estados do Paraná e Mato Grosso do Sul): ocorrência, georreferenciamento e parâmetros populacionais. Universidade Federal do Paraná.
REF0021;Article;Costa, M. D., Fernandes, F. A. B., Hilário, R. R., Gonçalves, A. V., and de Souza, J. M. 2012. Density, population size and primate conservation in Atlantic forest fragments in the south region of Minas Gerais, Brazil. Iheringia, Série Zoologia. 102:5-10.
REF0022;Article;"Delciellos, A. C., Novaes, R. L. M., Castro Loguercio, M. Fd., Geise, L., Santori, R. T., de França Souza, R., Papi, B. S., Raíces, D., Vieira, N. R., Felix, S., Detogne, N., Silva, C. C. Sd., Bergallo, H. Gd., Rocha-Barbosa, O. (2012). Mammals of Serra da Bocaina National Park, state of Rio de Janeiro, southeastern Brazil. Check List. 8:675-692.
"
REF0023;Article;de Souza Fialho, M., Printes, R. C., de Almeida, M. A. B., de Oliveira Laroque, P., dos Santos, E., and Jerusalinsky, L. 2012. Avaliação do impacto da epizootia de Febre Amarela sobre as populações de primatas não humanos nas unidades de conservação do Rio Grande do Sul, Brasil. Biotemas. 25:217-225.
REF0024;Thesis;Lima, E. F. D. 2008. Levantamento e censo de primatas em fragmentos florestais de mata atlântica na região de Sousas e Joaquim Egídio, Campinas, SP. Universidade Estadual Paulista Júlio de Mesquita Filho.
REF0025;Article;Alves, S. L., and Zaú, A. S. 2007. Aspectos ecológicos de Alouatta guariba clamitans (Cabrera, 1940) na área de relevante interesse ecológico Floresta da Cicuta, Rio de Janeiro, Brasil. Neotropical Primates. 14:127-130.
REF0026;Article;Marques, E. L. N., Jerusalinsky, L., Rocha, J. C. A., Santos, P. M., Beltrão-Mendes, R., and Ferrari, S. F. (2013). Primates, Pitheciidae, Callicebus coimbrai Kobayashi and Langguth, 1999: new localities for an endangered titi monkey in eastern Sergipe, Brazil. Check List. 9: 696-699.
REF0027;Article;Santos, K. K., Pacheco, G. S. M., and Passamani, M. 2016. Medium-sized and large mammals from Quedas do Rio Bonito Ecological Park, Minas Gerais, Brazil. Check List. 12:1830.
REF0028;Thesis;Pereira, A. M. 2012. Composição, distribuição, densidade e riqueza de primatas em fragmentos florestais no município de Viçosa-MG. Universidade Federal de Viçosa.
REF0029;Article;Passamani, M. 2008. Densidade e tamanho de grupo de primatas na Mata Atlântica serrana do sudoeste do Espírito Santo. Revista brasileira de zoociencias. 10:29-34
REF0030;Thesis;Teixeira, R. N. C. 2006. A importância de remanescentes de Mata Atlântica na ocorrência dos Muriquis (Brachyteles hypoxanthus E. Geoffroy) no Estado do Espírito Santo. Universidade Federal de Viçosa.
REF0031;Article;Moreira, J. C., Manduca, E. G., Gonçalves, P. R., Stumpp, R., Pinto, C. G., and Lessa, G. 2008. Mammals, Volta Grande Environmental Unity, Triângulo Mineiro, states of Minas Gerais and São Paulo, Southeastern Brazil. Check list. 4:349-357.
REF0032;Technical document;Pessoa, H. R. 2013. Plano de Manejo da Reserva Ecológica Amadeu Botelho.
REF0033;Technical document;Sociedade Chauá. 2008. Plano de Manejo da RPPN Corredeiras do Rio Itajaí - Itaiópolis, SC.
REF0034;Technical document;Instituto Ambiental. 2005. Plano de Manejo e Zoneamento da Reserva Particular do Patrimônio Natural El Nagual.
REF0035;Technical document;Zeller, H. R. 2010. Plano de Manejo: RPPN Emilio Einsfeld Filho, Santa Catarina.
REF0036;Technical document;Conservação Internacional Brasil. 2007. Plano de Manejo RPPN Estação Veracel.
REF0037;Technical document;Arauco Florestal Arapoti and Instituto Ecofuturo. 2014. Plano de Manejo da Reserva Particular do Patrimônio Natural Barra Mansa.
REF0038;Technical document;Nordeste Ambiental. 2016. Plano de Manejo da RPPN Fazenda Lontra-Saudade.
REF0039;Technical document;Associação Patrimônio Natural do Rio de Janeiro. 2009. Plano de Manejo da RPPN Fazenda São Benedito.
REF0040;Technical document;Associação Patrimônio Natural do Rio de Janeiro. 2012. Plano de Manejo RPPN Fazenda Suspiro, Teresópolis, Rio de Janeiro, Brasil.
REF0041;Technical document;Guapyassú, M. 2016. Plano de Manejo da Reserva Particular do Patrimônio Natural Florescer.
REF0042;Technical document;Caiaffa, N. A. 2014. Plano de Manejo da Reserva particular do Patrimônio Natural RPPN Guarirú, Varzedo - Bahia.
REF0043;Technical document;Rabello, H., de Souza, G., Calegário, N. I.,  and Oliveira, P. R. 2014. Plano de Manejo da RPPN Mata da Serra, Vargem Alta, Espírito Santo.
REF0044;Technical document;MGD & Salvaterra. 2015. Plano de Manejo da Reserva Particular do Patrimônio Natural O Bosque, Gramado, RS.
REF0045;Technical document;Flesher, K. M. 2014. Plano de Manejo da Reserva Particular do Patromônio Natural Ouro Verde.
